episode number, steps in evaluation, accumulated reward, done 
0, 200, -0.8462995089058191, 1
5, 200, -1298.4028789492145, 1
10, 200, -557.2232793064559, 1
15, 200, -1357.5475089438755, 1
20, 200, -1007.9358503081264, 1
25, 200, -1486.5859734110845, 1
30, 200, -7.08317441985559, 1
35, 200, -2.3335843441241337, 1
40, 200, -1143.1595335093873, 1
45, 200, -22.819403933067164, 1
50, 200, -1228.6167926806133, 1
55, 200, -279.14537736547476, 1
60, 200, -660.2968387856131, 1
65, 200, -212.52834009523448, 1
70, 200, -4.6377082618268215, 1
75, 200, -0.0887321109528278, 1
80, 200, -0.16809943333418065, 1
85, 200, -0.19474798477924687, 1
90, 200, -2.1433370687808924, 1
95, 200, -0.9352220481861109, 1
100, 200, -1.0541327915945016, 1
105, 200, -1.3234285527856557, 1
110, 200, -1.4815692692670692, 1
115, 200, -1.452461029552166, 1
120, 200, -1.419210836484997, 1
125, 200, -1.3759798420475668, 1
130, 200, -1.7039890952431467, 1
135, 200, -1.6753238904137064, 1
140, 200, -1.3951754610586078, 1
145, 200, -1.9531810418334987, 1
150, 200, -1.9836947040492705, 1
155, 200, -1.3545898045339049, 1
160, 200, -1.4784548590108724, 1
165, 200, -1.502438155645377, 1
170, 200, -1.3727279317996657, 1
175, 200, -1.59929202579583, 1
180, 200, -1.541595374120437, 1
185, 200, -1.4137405437462411, 1
190, 200, -1.3881407578040301, 1
195, 200, -1.4179080522543295, 1
200, 200, -1.3874926039179623, 1
205, 200, -1.379787426241798, 1
210, 200, -1.446509736707489, 1
215, 200, -1.3538328263173338, 1
220, 200, -1.360160559727432, 1
225, 200, -1.4769855101402247, 1
230, 200, -1.368254015400427, 1
235, 200, -1.3408964049256238, 1
240, 200, -1.4230735830880494, 1
245, 200, -1.2152704945692796, 1
250, 200, -1.3685345495193733, 1
255, 200, -1.3171907352912884, 1
260, 200, -1.7803616500428026, 1
265, 200, -1.7051035403929786, 1
270, 200, -1.436246306468435, 1
275, 200, -1.0698550591902432, 1
280, 200, -1.9568714627264692, 1
285, 200, -2.540832080173637, 1
290, 200, -3.579794591574669, 1
295, 200, -3.197881919798617, 1
300, 200, -4.018566158788656, 1
305, 200, -4.105577127295703, 1
310, 200, -3.580518813172341, 1
315, 200, -3.1034308188473956, 1
320, 200, -3.7287492772791264, 1
325, 200, -4.406495940888659, 1
330, 200, -3.3179091660151214, 1
335, 200, -3.936975261350908, 1
340, 200, -3.610814184558801, 1
345, 200, -3.6952062791094327, 1
350, 200, -3.779619006424064, 1
355, 200, -4.732221516671543, 1
360, 200, -4.6739543736133164, 1
365, 200, -7.640767960901499, 1
370, 200, -6.882561625865947, 1
375, 200, -9.131105182409604, 1
380, 200, -11.178532852920602, 1
385, 200, -13.054059455018022, 1
390, 200, -36.98337831770728, 1
395, 200, -13.027961316635205, 1
400, 200, -736.7945233911394, 1
405, 200, -30.598732629455785, 1
410, 200, -387.4097188024092, 1
415, 200, -12.283763084783635, 1
420, 200, -10.607200494432211, 1
425, 200, -12.84325808526369, 1
430, 200, -12.108503043556672, 1
435, 200, -11.155856192709559, 1
440, 200, -12.499141321182446, 1
445, 200, -9.488683983568482, 1
450, 200, -4.570382291036641, 1
455, 200, -8.569907020968376, 1
460, 200, -6.4792930106563285, 1
465, 200, -2.8634231746311505, 1
470, 200, -3.5669143126118104, 1
475, 200, -3.476188978854386, 1
480, 200, -3.929769112025746, 1
485, 200, -7.3382269576184935, 1
490, 200, -6.376818451617277, 1
495, 200, -3.762597353146909, 1
500, 200, -3.879122890518676, 1
505, 200, -5.555141316333558, 1
510, 200, -8.45193314505476, 1
