episode number, steps in evaluation, accumulated reward, done 
0, 200, -500.4473496985177, 1
5, 200, -12485.032206187161, 1
10, 200, -12825.28069295918, 1
15, 200, -11552.036973490145, 1
20, 200, -11535.458151554953, 1
25, 200, -1549.4775122796607, 1
30, 200, -1293.8313919238635, 1
35, 200, -1.568738245122045, 1
40, 200, -277.52011274956294, 1
45, 200, -406.1747953663681, 1
50, 200, -2034.3774103739727, 1
55, 200, -985.2851702476128, 1
60, 200, -358.62381577407064, 1
65, 200, -4.540509341019511, 1
70, 200, -9.84396914582192, 1
75, 200, -0.469822660571428, 1
80, 200, -0.34927251410613064, 1
85, 200, -0.15108123519062774, 1
90, 200, -2.0399116737837004, 1
95, 200, -1.0417582943929167, 1
100, 200, -1.6240817483675671, 1
105, 200, -1.3186808631053757, 1
110, 200, -1.1047686966751176, 1
115, 200, -1.19069853723883, 1
120, 200, -1.2238645803638128, 1
125, 200, -1.1496899135299217, 1
130, 200, -1.8313408108160363, 1
135, 200, -1.6983006672125125, 1
140, 200, -1.325515812639015, 1
145, 200, -2.0953161892614434, 1
150, 200, -2.087189897280325, 1
155, 200, -1.428976425342343, 1
160, 200, -1.659489059524401, 1
165, 200, -1.5865820238012485, 1
170, 200, -1.3370644388086437, 1
175, 200, -1.7274070888499014, 1
180, 200, -1.6818416826525786, 1
185, 200, -1.6282078314935222, 1
190, 200, -1.606205512931692, 1
195, 200, -1.6666204260403688, 1
200, 200, -1.6315375247905683, 1
205, 200, -1.7048896396362074, 1
210, 200, -1.7901954554443251, 1
215, 200, -1.544448384340623, 1
220, 200, -1.6111605130783768, 1
225, 200, -1.8634301843624288, 1
230, 200, -1.619073133530311, 1
235, 200, -1.4249415747241225, 1
240, 200, -1.5943238033702, 1
245, 200, -1.2512648798898407, 1
250, 200, -1.380197234726914, 1
255, 200, -1.290796709716162, 1
260, 200, -1.7158982902685487, 1
265, 200, -1.7522007289248693, 1
270, 200, -1.4143767069408688, 1
275, 200, -0.9031225557552749, 1
280, 200, -1.6410356867116742, 1
285, 200, -2.03679873124624, 1
290, 200, -2.949549320822865, 1
295, 200, -2.727480024595593, 1
300, 200, -3.561413786401564, 1
305, 200, -3.558154156264849, 1
310, 200, -3.0928178725460396, 1
315, 200, -2.7080069312249657, 1
320, 200, -2.9792228891438044, 1
325, 200, -3.4931871727972816, 1
330, 200, -2.7610905345187873, 1
335, 200, -3.1726071527225814, 1
340, 200, -3.016087606018251, 1
345, 200, -2.971601858905934, 1
350, 200, -3.068381526421844, 1
355, 200, -3.702390636195592, 1
360, 200, -3.5838216543115187, 1
365, 200, -5.702549081992756, 1
370, 200, -5.212175711426071, 1
375, 200, -6.79726866878564, 1
380, 200, -8.301029652656432, 1
385, 200, -9.251535144878027, 1
390, 200, -10.558282553962362, 1
395, 200, -9.96298458474598, 1
400, 200, -17.575807819056333, 1
405, 200, -10.340469072234635, 1
410, 200, -11.615507815328298, 1
415, 200, -8.877292517228701, 1
420, 200, -8.202651196844768, 1
425, 200, -9.54624533132821, 1
430, 200, -9.15594367516073, 1
435, 200, -7.999294023362014, 1
440, 200, -10.009510219930968, 1
