episode number, steps in evaluation, accumulated reward, done 
0, 200, -503.22731608220283, 1
1, 200, -897.8713372294467, 1
2, 200, -1027.5511886578831, 1
3, 200, -1546.5412161377956, 1
4, 200, -1608.8753158313455, 1
5, 200, -1604.3695717549708, 1
6, 200, -1601.781156086879, 1
7, 200, -1607.1872277927862, 1
8, 200, -1592.3287102588383, 1
9, 200, -1349.0229680043483, 1
10, 200, -1527.4216652013017, 1
11, 200, -1403.190637016407, 1
12, 200, -1351.9829252678855, 1
13, 200, -1319.8786536918797, 1
14, 200, -1333.3512005457171, 1
15, 200, -1359.0142648205563, 1
16, 200, -1358.6055138139664, 1
17, 200, -1334.2288822617968, 1
18, 200, -1327.58852218236, 1
19, 200, -1302.961336432437, 1
20, 200, -2.9082150050648945, 1
21, 200, -6.0475640738524845, 1
22, 200, -2.0973437074152335, 1
23, 200, -2.320501075672173, 1
24, 200, -2.1255942051684587, 1
25, 200, -1154.4289323174446, 1
26, 200, -1168.6314692372816, 1
27, 200, -1119.368668206703, 1
28, 200, -1158.5646473754744, 1
29, 200, -1181.2272041450183, 1
30, 200, -1201.6062256544215, 1
31, 200, -1197.833743307346, 1
32, 200, -1213.6467397308973, 1
33, 200, -1205.23782061695, 1
34, 200, -1182.709230114219, 1
35, 200, -1163.5950160632258, 1
36, 200, -1162.8682695516268, 1
37, 200, -1153.1287745780728, 1
38, 200, -1130.7173811114337, 1
39, 200, -1105.055891265093, 1
40, 200, -1097.1872159007955, 1
41, 200, -1074.5098400502866, 1
42, 200, -1076.55831810051, 1
43, 200, -1000.9179899964005, 1
44, 200, -975.8213514690269, 1
45, 200, -942.8831549401809, 1
46, 200, -854.4755210420022, 1
47, 200, -407.4910364418347, 1
48, 200, -404.008848201017, 1
49, 200, -413.9455426306633, 1
50, 200, -518.4878076285205, 1
51, 200, -522.5602562920707, 1
52, 200, -460.87578355366867, 1
53, 200, -524.1597834055584, 1
54, 200, -524.8588172859819, 1
55, 200, -516.3697752937811, 1
56, 200, -486.4181191797523, 1
57, 200, -405.3942696612852, 1
58, 200, -404.6085830691958, 1
59, 200, -521.4426737781829, 1
60, 200, -441.9723398630109, 1
61, 200, -400.31202324280736, 1
62, 200, -399.1120333277537, 1
63, 200, -13.561281621957013, 1
64, 200, -401.27864604908393, 1
65, 200, -400.0682084139049, 1
66, 200, -415.26772336579165, 1
67, 200, -400.29439422073915, 1
68, 200, -152.98498855765848, 1
69, 200, -420.71333752135456, 1
70, 200, -517.32206698244, 1
71, 200, -527.8771829412303, 1
72, 200, -524.8740049847792, 1
73, 200, -412.3762499249469, 1
74, 200, -535.8284389404097, 1
75, 200, -412.90772160233655, 1
76, 200, -526.9311342121102, 1
77, 200, -528.8721661095443, 1
78, 200, -514.6986009784487, 1
79, 200, -527.3270118756298, 1
80, 200, -401.21989331901995, 1
81, 200, -276.0979506995835, 1
82, 200, -400.4342969850489, 1
83, 200, -400.30769555979975, 1
84, 200, -399.82038590071033, 1
85, 200, -399.49344490398164, 1
86, 200, -398.9430637437439, 1
87, 200, -398.83883244457303, 1
88, 200, -521.0179761471654, 1
89, 200, -290.58390710188985, 1
90, 200, -375.40576755102325, 1
91, 200, -272.2211820570114, 1
92, 200, -398.25911468772, 1
93, 200, -274.45796189605363, 1
94, 200, -391.91664704760785, 1
95, 200, -274.28598671366586, 1
96, 200, -11.507738870735343, 1
97, 200, -5.324100575589305, 1
98, 200, -2.9034347365705115, 1
99, 200, -1.5908243215982893, 1
100, 200, -0.7074918657523496, 1
101, 200, -0.08285835830802439, 1
102, 200, -0.11943191594175935, 1
103, 200, -0.2005465004068818, 1
104, 200, -0.654763996998125, 1
105, 200, -0.8680340144264593, 1
106, 200, -1.5705897887964693, 1
107, 200, -0.37914593671001345, 1
108, 200, -0.7985050385832535, 1
109, 200, -0.25413795321411675, 1
110, 200, -1.5888057696932638, 1
111, 200, -1.4749247979600626, 1
112, 200, -1.675069428234732, 1
113, 200, -1.4592801628322194, 1
114, 200, -1.4015031992493905, 1
115, 200, -0.8919062352183204, 1
116, 200, -1.268663360418975, 1
117, 200, -1.4206812553568076, 1
118, 200, -1.2927709073022127, 1
119, 200, -1.2036353600615868, 1
120, 200, -1.4683177000644507, 1
121, 200, -1.5986460090916519, 1
122, 200, -0.8195819667919516, 1
123, 200, -1.3532822721350106, 1
124, 200, -1.4365367878951567, 1
125, 200, -0.6143533256521787, 1
126, 200, -1.0489197359542946, 1
127, 200, -1.2570512251326191, 1
128, 200, -1.2368680378755985, 1
129, 200, -1.2902762116566393, 1
130, 200, -1.2781547158973858, 1
131, 200, -0.8062438522677633, 1
132, 200, -0.19754871604557983, 1
133, 200, -0.1928773751840351, 1
134, 200, -1.0326508736062516, 1
135, 200, -0.03469146558018074, 1
136, 200, -0.16246280523896334, 1
137, 200, -0.09048568591740837, 1
138, 200, -0.04181168406544857, 1
139, 200, -0.019486937260018596, 1
140, 200, -0.1421764524759563, 1
141, 200, -0.0016035345619322577, 1
142, 200, -0.06672337913325303, 1
143, 200, -0.009828289597681757, 1
144, 200, -0.018957379208827257, 1
145, 200, -0.004966388907756909, 1
146, 200, -0.35739112552022345, 1
147, 200, -0.01940384712542628, 1
148, 200, -0.021669396584326664, 1
149, 200, -1.4813164647205406, 1
150, 200, -260.8590681235002, 1
151, 200, -261.4293432850745, 1
152, 200, -359.5017109469406, 1
153, 200, -383.6672413957158, 1
154, 200, -263.1220355659873, 1
155, 200, -327.76745517466003, 1
156, 200, -266.8610183607083, 1
157, 200, -381.54235430643877, 1
158, 200, -382.3339443543331, 1
159, 200, -387.89772595001756, 1
160, 200, -492.90103624292374, 1
161, 200, -486.1048071099667, 1
162, 200, -429.37510459218277, 1
163, 200, -383.22975428168445, 1
164, 200, -379.073726614123, 1
165, 200, -490.6791175928561, 1
166, 200, -380.85918871095464, 1
167, 200, -378.3103231060521, 1
168, 200, -379.96635141312817, 1
169, 200, -378.96378930288796, 1
170, 200, -261.85294669425315, 1
171, 200, -15.402660384353013, 1
172, 200, -258.8466273392459, 1
173, 200, -11.580998594055918, 1
174, 200, -13.353668906468162, 1
175, 200, -138.612178129439, 1
176, 200, -12.751489143686724, 1
177, 200, -11.046877039769571, 1
178, 200, -14.65189720708216, 1
179, 200, -138.14829246867717, 1
180, 200, -14.570446726318833, 1
181, 200, -12.272402127940603, 1
182, 200, -12.83577287512532, 1
183, 200, -10.144981450973669, 1
184, 200, -8.376337298928217, 1
185, 200, -11.684209471829867, 1
186, 200, -7.636647372821549, 1
187, 200, -15.399293632760775, 1
188, 200, -15.006976429898502, 1
189, 200, -13.384880955116813, 1
190, 200, -14.219782946784738, 1
191, 200, -138.795151484635, 1
192, 200, -12.945932610323519, 1
193, 200, -13.953560094164004, 1
194, 200, -14.219863702267928, 1
195, 200, -12.89576357050921, 1
196, 200, -11.690949647270324, 1
197, 200, -12.23881595255194, 1
198, 200, -11.610379144552422, 1
199, 200, -8.620903704016534, 1
200, 200, -12.933987586644982, 1
201, 200, -7.235329323465959, 1
202, 200, -10.465917420385912, 1
203, 200, -11.90653808432659, 1
204, 200, -10.453299267893192, 1
205, 200, -8.391555733088696, 1
206, 200, -11.081675741455797, 1
207, 200, -10.90943478057704, 1
208, 200, -11.823212331024626, 1
209, 200, -11.646463110326836, 1
210, 200, -11.370011260778996, 1
211, 200, -11.103978748620769, 1
212, 200, -12.0332298245254, 1
213, 200, -11.189778854501075, 1
214, 200, -10.111256456418303, 1
215, 200, -10.382165560094696, 1
216, 200, -10.71606815407137, 1
217, 200, -8.674982604625308, 1
218, 200, -9.60775847050565, 1
219, 200, -9.609623596282008, 1
220, 200, -12.618438777021314, 1
221, 200, -8.922137846216007, 1
222, 200, -13.122318501988618, 1
223, 200, -10.015892264762593, 1
224, 200, -12.338006863705628, 1
225, 200, -137.8954503221271, 1
226, 200, -15.82777574828042, 1
227, 200, -138.69157422809428, 1
228, 200, -13.882513149518475, 1
229, 200, -138.48065743653441, 1
230, 200, -11.14336451176615, 1
231, 200, -11.930706257944507, 1
232, 200, -12.728619392713217, 1
233, 200, -12.124486658671307, 1
234, 200, -11.868962246839397, 1
235, 200, -11.432612932295742, 1
236, 200, -10.305855259613967, 1
237, 200, -10.957484595099958, 1
238, 200, -10.502764234536109, 1
239, 200, -10.690455077746615, 1
240, 200, -14.098708589001589, 1
241, 200, -10.549945425831256, 1
242, 200, -12.906732628595067, 1
243, 200, -10.07087788176858, 1
244, 200, -11.868071310798614, 1
245, 200, -11.909772716469302, 1
246, 200, -5.945390506859576, 1
247, 200, -9.982850231068536, 1
248, 200, -11.387903811462227, 1
249, 200, -12.251963968766374, 1
250, 200, -10.643540299036394, 1
251, 200, -5.076285324975541, 1
252, 200, -13.016738341136545, 1
253, 200, -10.187508042393716, 1
254, 200, -9.95606374029825, 1
255, 200, -8.45138381305542, 1
256, 200, -12.894489439384534, 1
257, 200, -16.117981088349396, 1
258, 200, -5.459258089008266, 1
259, 200, -11.592953991950063, 1
260, 200, -13.284678096603995, 1
261, 200, -10.169910102693752, 1
262, 200, -5.844605441693808, 1
263, 200, -10.527946560618156, 1
264, 200, -12.697142942537612, 1
265, 200, -12.12730023489976, 1
266, 200, -10.806818675795423, 1
267, 200, -13.749507665136031, 1
268, 200, -11.13499387752557, 1
269, 200, -11.794672208157968, 1
270, 200, -11.887760576810349, 1
271, 200, -11.778991378676333, 1
272, 200, -12.425319523573958, 1
273, 200, -9.939137191750826, 1
274, 200, -9.49074693489056, 1
275, 200, -4.677088719695075, 1
276, 200, -11.107541069645826, 1
277, 200, -3.2578727761336026, 1
278, 200, -11.0876742195257, 1
279, 200, -12.597245531168625, 1
280, 200, -13.944691067799203, 1
281, 200, -12.170033084714564, 1
