episode number, steps in evaluation, accumulated reward, done 
0, 200, -463.383553452791, 1
1, 200, -644.2865568492508, 1
2, 200, -1517.4315625868871, 1
3, 200, -1547.8545891953822, 1
4, 200, -1549.7551848222818, 1
5, 200, -1363.7302148678084, 1
6, 200, -1499.0878313087148, 1
7, 200, -1320.354000322109, 1
8, 200, -1338.640526701601, 1
9, 200, -1463.9298590888075, 1
10, 200, -1397.9241511011257, 1
11, 200, -1445.9663437085187, 1
12, 200, -1530.282453777628, 1
13, 200, -1508.0194536606618, 1
14, 200, -1326.1504847702931, 1
15, 200, -1280.0895479410976, 1
16, 200, -1333.5386419829376, 1
17, 200, -1350.8485502127996, 1
18, 200, -1324.7486734818556, 1
19, 200, -1341.5076251761202, 1
20, 200, -1345.6148999576205, 1
21, 200, -1347.0078975289005, 1
22, 200, -1334.799700610639, 1
23, 200, -1325.7029924843027, 1
24, 200, -1338.7541822668286, 1
25, 200, -1324.5399331471688, 1
26, 200, -1344.419598080995, 1
27, 200, -1315.5570029271837, 1
28, 200, -1288.478324468529, 1
29, 200, -1332.6889568567271, 1
30, 200, -1264.089982427251, 1
31, 200, -1250.7531909846643, 1
32, 200, -1174.5810579841955, 1
33, 200, -1211.8688398589009, 1
34, 200, -1144.1855715478378, 1
35, 200, -1158.8592503572627, 1
36, 200, -1068.1570276404175, 1
37, 200, -1076.8160346637476, 1
38, 200, -1031.5256162771952, 1
39, 200, -1029.656708570986, 1
40, 200, -1045.4244607045669, 1
41, 200, -983.7529863581586, 1
42, 200, -1019.1396846866604, 1
43, 200, -880.5004958145041, 1
44, 200, -782.3761419988125, 1
45, 200, -580.070686847597, 1
46, 200, -287.7237972956439, 1
47, 200, -1.5335327701287327, 1
48, 200, -1.094940478778932, 1
49, 200, -442.3363609660356, 1
50, 200, -267.287561042823, 1
51, 200, -393.9963736821252, 1
52, 200, -284.86232320931373, 1
53, 200, -274.15633842904333, 1
54, 200, -385.5195514685396, 1
55, 200, -263.88754890900896, 1
56, 200, -264.3428822148932, 1
57, 200, -412.4863627229821, 1
58, 200, -397.2958863910937, 1
59, 200, -825.4208153962529, 1
60, 200, -425.38313870790404, 1
61, 200, -266.6657544130342, 1
62, 200, -829.0032301752959, 1
63, 200, -275.13455015662663, 1
64, 200, -273.466414434532, 1
65, 200, -354.9598466736124, 1
66, 200, -308.4922132973179, 1
67, 200, -381.2848394966815, 1
68, 200, -297.6895353174208, 1
69, 200, -391.97270240336195, 1
70, 200, -395.1827025265391, 1
71, 200, -349.44871280059635, 1
72, 200, -270.047981572477, 1
73, 200, -391.8553331536129, 1
74, 200, -352.790207580107, 1
75, 200, -394.31729975234106, 1
76, 200, -272.6465116155745, 1
77, 200, -273.36065809254796, 1
78, 200, -268.5671033621354, 1
79, 200, -265.9002549173361, 1
80, 200, -276.54976072695587, 1
81, 200, -265.42232155927366, 1
82, 200, -265.6338524447746, 1
83, 200, -265.6366688129612, 1
84, 200, -266.52791162130933, 1
85, 200, -266.4750241076133, 1
86, 200, -267.099195719433, 1
87, 200, -267.66224109902004, 1
88, 200, -267.4020915301389, 1
89, 200, -269.083910122213, 1
90, 200, -268.373827142392, 1
91, 200, -269.4181508958143, 1
92, 200, -269.57946531996413, 1
93, 200, -268.871386752712, 1
